Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc	Zw	Zwc
647	23955.2	24027.1	23956.8	24026.7	986.74164	5778.94775	308.93405	0.86581	0.82658	1185.33167	6146.75000	309	1	24	1	641.216	643.84	506.62128	16.65218	23955.2	24027.1	23956.8	24026.7	641.2	641.2
647	24307.9	24162.8	24309.6	24162.4	2367.66772	29710.91406	315.16437	0.51742	1.20110	1234.65808	30220.50781	315	2	21	1	561.72	564.504	2604.65779	5.44468	24307.9	24162.8	24309.6	24162.4	561.7	561.7
647	24438.5	25042.2	24440.3	25041.7	799.43274	6655.51709	368.96512	0.65559	0.73909	1160.35693	7153.51563	323	1	23	1	709.73	712.729	583.46722	20.03340	24438.5	25042.2	24440.3	25041.7	709.7	709.7
647	23680.8	24492.6	23682.8	24492.0	642.03271	4588.03613	339.56207	1.20193	0.56500	1159.51221	4911.94922	336	1	16	1	723.857	727.204	402.21799	24.26647	23680.8	24492.6	23682.8	24492.0	723.9	723.9
647	23717.9	24534.8	23720.0	24534.2	867.44476	13408.86426	504.27505	1.45489	0.60696	1203.52869	14401.14063	343	1	18	1	852.409	855.944	1175.51088	18.93313	23717.9	24534.8	23720.0	24534.2	852.4	852.4
647	24722.8	24577.2	24725.0	24576.7	892.18805	7377.94092	366.89923	1.21473	0.85989	1129.03369	7852.87500	347	1	15	1	673.001	676.644	646.79973	17.83411	24722.8	24577.2	24725.0	24576.7	673.0	673.0
647	24030.0	24048.6	24032.4	24048.0	788.41107	5261.34082	329.93063	0.00963	0.87283	1153.21570	5500.42969	360	1	9	1	639.804	643.795	461.24439	20.21583	24030.0	24048.6	24032.4	24048.0	639.8	639.8
647	23916.4	24115.7	23918.9	24115.0	682.36688	4865.34277	342.40045	0.27931	0.81602	1117.29150	5240.71484	369	1	21	1	663.819	668.051	426.52855	22.96075	23916.4	24115.7	23918.9	24115.0	663.8	663.8
647	24459.1	24811.3	24461.7	24810.6	1318.62122	7220.73438	296.63745	1.42786	1.37267	1175.81018	7513.64453	375	1	19	1	544.807	549.2	633.01795	12.65612	24459.1	24811.3	24461.7	24810.6	544.8	544.8
647	23916.4	24589.9	23919.1	24589.2	1174.20508	14714.19043	349.68668	0.57114	1.27623	1115.34790	15044.17188	383	2	16	1	522.011	526.619	1289.94452	11.53428	23916.4	24589.9	23919.1	24589.2	522.0	522.0
647	24469.3	24222.0	24472.1	24221.3	655.94751	6913.70850	412.02780	1.10167	1.53109	1190.07715	7454.06250	385	1	18	1	397	401.661	606.10201	23.98169	24469.3	24222.0	24472.1	24221.3	397.0	397.0
647	24172.9	25071.9	24175.8	25071.1	608.05804	3395.15820	301.59933	1.01304	0.91699	1120.20410	3705.00000	398	1	17	1	619.32	624.33	297.64232	25.40912	24172.9	25071.9	24175.8	25071.1	619.3	619.3
647	23993.9	24036.3	23996.9	24035.6	851.79291	7803.62646	385.89093	0.65919	0.68691	1175.63171	8129.20313	400	1	15	1	738.69	743.754	684.11818	18.88844	23993.9	24036.3	23996.9	24035.6	738.7	738.7
647	24569.2	24646.6	24572.2	24645.8	1023.52130	6581.16895	323.48740	0.69792	1.48359	1188.64941	6821.77734	402	1	13	1	510.98	516.098	576.94936	16.09682	24569.2	24646.6	24572.2	24645.8	511.0	511.0
647	24268.9	24029.3	24272.1	24028.5	1410.79822	7650.83838	297.31763	1.23692	0.87119	1219.44580	8281.15625	410	1	16	1	627.09	632.422	670.72375	12.24418	24268.9	24029.3	24272.1	24028.5	627.1	627.1
647	24318.2	24867.2	24321.3	24866.4	1029.33228	7441.96338	343.79059	0.02255	1.43068	1179.64844	8288.14844	411	1	16	1	498.479	503.838	652.41237	16.01704	24318.2	24867.2	24321.3	24866.4	498.5	498.5
647	23697.4	24547.7	23700.8	24546.8	875.84863	16292.74316	420.95230	0.07953	0.54915	1190.17297	16771.35938	424	2	16	1	798.728	804.436	1428.33103	15.14351	23697.4	24547.7	23700.8	24546.8	798.7	798.7
647	24115.2	24836.7	24118.7	24835.8	700.01746	4359.08301	318.08493	0.30871	0.98262	1152.96960	4886.48828	436	1	17	1	608.019	614.048	382.14642	22.49361	24115.2	24836.7	24118.7	24835.8	608.0	608.0
647	24541.6	24174.3	24545.2	24173.4	744.64728	5208.67041	338.25262	0.17773	1.28635	1152.49927	5633.54688	439	1	19	1	530.1	536.21	456.62695	21.35481	24541.6	24174.3	24545.2	24173.4	530.1	530.1
