confocal offset (nm)
0	0
ROI type
FreehandROI
ROI X, Y coordinates (nm)
20596.3349772	20234.6383957
20633.8256806	20202.503507
20751.6536056	20132.877915
20912.3280488	20041.8290638
20923.0396784	20041.8290638
21147.9838989	20009.6941752
21153.3397136	20009.6941752
21292.5908977	20009.6941752
21453.2653409	20020.4058047
21662.1421171	20100.7430263
21785.3258569	20191.7918775
21833.5281898	20309.6198025
21854.9514489	20400.6686537
21876.374708	20502.4291343
21892.4421523	20636.3245037
21897.7979671	20780.9315026
21897.7979671	20786.2873173
21838.8840046	20984.4524639
21817.4607455	21080.8571299
21774.6142273	21193.3292401
21715.7002648	21311.1571651
21538.9583773	21423.6292754
21319.3699716	21509.3223117
21201.5420466	21536.1013856
20992.6652704	21520.0339413
20799.8559386	21450.4083492
20789.144309	21439.6967197
20655.2489397	21262.9548322
20580.2675329	21107.6362037
20532.0651999	20979.0966492
20494.5744965	20845.2012798
20467.7954226	20620.2570594
20478.5070522	20491.7175048
20483.862867	20448.8709866
20499.9303113	20384.6012093
20537.4210147	20288.1965434
