Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc	Zw	Zwc	Layer_number
647	21590.7	21313.9	21590.7	21313.9	1320.51892	10224.67676	355.50314	0.26676	0.6452600000000001	1402.82837	10818.8125	105	1	23	1	538.0419999999999	537.985	896.36367	13.69104	21590.7	21313.9	21590.7	21313.9	538.0	538.0	1
647	20802.9	21250.9	20802.9	21250.9	1779.47607	16496.69922	394.34006	0.67571	0.66947	1373.16333	17244.71094	108	1	24	1	568.062	567.947	1446.21118	10.66044	20802.9	21250.9	20802.9	21250.9	568.1	568.1	1
647	21607.6	21239.4	21607.6	21239.4	1153.1358599999999	12771.77051	299.5083	1.11343	0.9007700000000001	1438.66101	14420.71875	109	2	24	1	443.89	443.756	1119.65897	11.007060000000001	21607.6	21239.4	21607.6	21239.4	443.9	443.9	1
647	21284.7	20399.8	21284.7	20399.8	996.61115	9835.34375	409.59839	1.2349700000000001	1.48823	1554.2523199999998	11297.10156	110	1	28	1	236.99599999999998	236.84400000000002	862.2321300000001	19.163520000000002	21284.7	20399.8	21284.7	20399.8	237.0	237.0	1
647	21050.5	20266.4	21050.5	20266.4	4029.0429700000004	68083.80469	417.34024	1.41485	1.47088	1460.9483599999999	69023.95313	112	2	17	1	228.563	228.372	5968.6824799999995	4.58467	21050.5	20266.4	21050.5	20266.4	228.6	228.6	1
647	21516.8	20150.9	21516.8	20150.9	1122.75012	7025.910640000001	319.15601000000004	0.3817	0.87789	1427.39148	7408.820309999999	120	1	21	1	454.806	454.463	615.9384	15.95375	21516.8	20150.9	21516.8	20150.9	454.8	454.8	1
647	21689.7	20151.1	21689.7	20151.1	1137.9898699999999	9515.06055	370.39771	0.4578	0.70308	1445.89148	9959.83594	123	1	31	1	538.725	538.3240000000001	834.15396	15.93092	21689.7	20151.1	21689.7	20151.1	538.7	538.7	1
647	21850.6	20659.0	21850.6	20659.0	2289.24829	16908.47852	347.42975	0.59427	0.62412	1456.39343	17580.21094	124	1	17	1	535.313	534.893	1482.31051	8.58366	21850.6	20659.0	21850.6	20659.0	535.3	535.3	1
647	20714.8	20791.1	20714.8	20791.1	1294.54089	12078.37207	385.88268999999997	0.41252	1.8742599999999998	1555.25891	13015.0625	125	1	31	1	229.266	228.827	1058.8710199999998	14.22675	20714.8	20791.1	20714.8	20791.1	229.3	229.3	1
647	20978.9	21449.8	20978.9	21449.8	1256.21375	33731.20313	334.10336	0.15963	0.76995	1401.06335	34061.48438	126	5	28	1	490.284	489.82599999999996	2957.1032600000003	7.98645	20978.9	21449.8	20978.9	21449.8	490.3	490.3	1
647	20987.9	21451.1	20987.9	21451.1	1039.53162	50430.29297	383.91152999999997	1.10858	0.75674	1378.71436	53367.5625	132	6	30	1	539.4069999999999	538.8340000000001	4421.05736	7.6294	20987.9	21451.1	20987.9	21451.1	539.4	539.4	1
647	21135.9	21173.3	21135.9	21173.2	785.2876	5722.06494	344.00023999999996	0.53293	1.20288	1379.3845199999998	6223.77344	140	1	17	1	369.12199999999996	368.397	501.63455	21.80836	21135.9	21173.3	21135.9	21173.2	369.1	369.1	1
647	20660.9	20964.5	20660.9	20964.4	674.50861	9235.32813	474.44785	0.59226	0.4646	1279.35107	9565.6875	145	1	26	1	672.448	671.627	809.6307400000001	24.56452	20660.9	20964.5	20660.9	20964.4	672.4	672.4	1
647	21246.9	20245.4	21246.9	20245.3	965.3905599999999	5703.90381	310.98843	1.05244	1.45879	1430.9845	5983.54297	146	1	32	1	350.147	349.30699999999996	500.04242	18.44427	21246.9	20245.4	21246.9	20245.3	350.1	350.1	1
647	21222.0	21423.4	21222.0	21423.3	2813.1516100000003	22466.56445	361.79221	0.9409200000000001	1.2765600000000001	1336.41614	23196.78125	146	1	34	1	334.685	333.845	1969.5695699999999	7.028989999999999	21222.0	21423.4	21222.0	21423.3	334.7	334.7	1
647	20665.9	20501.6	20665.9	20501.4	722.5222200000001	4439.37598	316.34106	0.7203	0.779	1282.08997	4773.58984	149	1	26	1	475.95599999999996	475.059	389.18543999999997	22.916079999999997	20665.9	20501.6	20665.9	20501.4	476.0	476.0	1
647	20650.1	20597.3	20650.1	20597.1	1267.14075	7368.101559999999	307.83521	0.71077	1.0658299999999998	1311.90771	7568.523440000001	154	1	22	1	412.695	411.70300000000003	645.93715	13.8443	20650.1	20597.3	20650.1	20597.1	412.7	412.7	1
647	21661.5	21140.5	21661.5	21140.2	1641.47986	11647.29883	350.64441	0.68286	1.7678099999999999	1448.08179	12570.84375	157	1	28	1	278.461	277.411	1021.08025	12.04107	21661.5	21140.5	21661.5	21140.2	278.5	278.5	1
647	20637.1	20495.4	20637.1	20495.2	719.27032	4608.97119	323.19977	0.40576999999999996	0.80429	1278.2934599999999	4945.62109	160	1	30	1	474.592	473.485	404.05329	22.99745	20637.1	20495.4	20637.1	20495.2	474.6	474.6	1
647	20775.3	21270.4	20775.4	21270.0	3259.78271	32240.71875	336.43908999999996	0.36498	0.93999	1387.08789	32663.39063	164	2	29	1	445.255	444.07099999999997	2826.4374199999997	5.887980000000001	20775.3	21270.4	20775.4	21270.0	445.3	445.3	1
647	20905.0	20507.8	20905.1	20507.4	632.6494799999999	5252.76172	373.83408	0.61027	1.4847700000000001	1385.4904800000002	5980.10156	169	1	27	1	283.381	282.10200000000003	460.49229	27.67721	20905.0	20507.8	20905.1	20507.4	283.4	283.4	1
647	20828.0	20279.2	20828.1	20278.7	1983.21558	12336.50391	318.40646	0.32624000000000003	1.13224	1357.03101	12763.48438	179	1	16	1	397.93699999999995	396.467	1081.50059	9.458960000000001	20828.0	20279.2	20828.1	20278.7	397.9	397.9	1
