Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc	Zw	Zwc
405/561	19616.1	17417.8	19616.1	17417.8	523.97717	4070.85669	355.83344	1.47588	1.09034	528.23145	4650.21436	18	1	7	1	-21.2194	-21.2194	356.87857	21.25751	19616.1	17417.8	19616.1	17417.8	-21.2	-21.2
405/561	19839.5	15805.3	19839.5	15805.3	943.72766	31968.83203	361.06888	0.30966	1.66386	561.92480	31523.19141	23	3	9	1	-105.473	-105.473	2802.60201	5.65574	19839.5	15805.3	19839.5	15805.3	-105.5	-105.5
405/561	19828.6	15741.7	19828.6	15741.7	1484.80762	23074.07227	340.70526	0.35165	1.43429	528.26062	22428.30859	27	2	0	1	-68.0269	-68.0269	2022.82777	5.83880	19828.6	15741.7	19828.6	15741.7	-68.0	-68.0
405/561	20178.2	14371.8	20178.2	14371.8	561.78156	3074.68311	298.65961	0.84129	1.24062	484.18713	2781.32178	28	1	6	1	-28.0845	-28.0845	269.54732	19.37734	20178.2	14371.8	20178.2	14371.8	-28.1	-28.1
405/561	19849.9	15796.8	19849.9	15796.8	702.11243	12762.55859	373.12308	0.22569	1.77465	511.76886	13146.81152	32	2	4	1	-123.572	-123.572	1118.85140	10.86974	19849.9	15796.8	19849.9	15796.8	-123.6	-123.6
405/561	19656.9	17342.6	19656.9	17342.6	550.39130	22687.35352	290.65500	1.03946	1.02443	511.67630	22413.88672	34	6	4	1	-1.8723	-1.8723	1988.92541	6.43794	19656.9	17342.6	19656.9	17342.6	-1.9	-1.9
405/561	20457.4	19045.5	20457.4	19045.5	629.53345	3667.51440	308.13181	0.35901	1.10586	618.63159	3695.21069	34	1	5	1	-13.7302	-13.7302	321.51889	19.24242	20457.4	19045.5	20457.4	19045.5	-13.7	-13.7
405/561	19863.4	15841.7	19863.4	15841.7	799.00159	14629.87500	416.80893	0.35333	1.91083	487.50916	14087.19531	35	2	6	1	-168.507	-168.507	1282.55286	11.47324	19863.4	15841.7	19863.4	15841.7	-168.5	-168.5
405/561	19678.7	18164.4	19678.7	18164.4	808.13708	5938.90234	346.07532	0.98737	0.84223	532.11597	5677.10156	36	1	7	1	41.1906	41.1906	520.64397	14.59034	19678.7	18164.4	19678.7	18164.4	41.2	41.2
405/561	20510.0	21563.1	20510.0	21563.1	589.81219	17334.39063	377.01263	0.06973	1.89907	556.62341	16431.27930	39	3	6	1	-134.806	-134.806	1519.64882	10.16213	20510.0	21563.1	20510.0	21563.1	-134.8	-134.8
405/561	19840.8	15842.4	19840.8	15842.4	607.69684	8724.62500	361.70911	0.03677	1.79673	511.34033	8376.93262	40	2	5	1	-115.459	-115.459	764.85908	14.36342	19840.8	15842.4	19840.8	15842.4	-115.5	-115.5
405/561	21169.9	23879.1	21169.9	23879.1	746.26752	8431.72461	429.11230	0.41001	2.18787	491.99844	8213.07031	40	1	10	1	-191.599	-191.599	739.18147	15.13877	21169.9	23879.1	21169.9	23879.1	-191.6	-191.6
405/561	19656.4	17367.8	19656.4	17367.8	626.26593	3592.49902	305.75882	0.57592	1.25062	522.20325	3601.91821	42	1	3	1	-30.5809	-30.5809	314.94253	18.11575	19656.4	17367.8	19656.4	17367.8	-30.6	-30.6
405/561	21920.9	25461.7	21920.9	25461.7	543.95050	14174.08984	297.21512	0.77227	1.03967	480.20856	13567.75391	44	4	5	1	-4.3687	-4.3687	1242.59568	8.46407	21920.9	25461.7	21920.9	25461.7	-4.4	-4.4
405/561	21172.1	23898.3	21172.1	23898.3	569.22089	8377.47754	489.75204	0.64469	1.96744	508.23526	8400.41406	45	1	6	1	-230.293	-230.293	734.42581	19.38488	21172.1	23898.3	21172.1	23898.3	-230.3	-230.3
405/561	20491.4	21471.7	20491.4	21471.7	530.71344	5661.47412	416.96036	0.29755	2.12163	535.29822	5205.58105	48	1	3	1	-178.493	-178.493	496.32275	21.08848	20491.4	21471.7	20491.4	21471.7	-178.5	-178.5
405/561	20086.4	19807.7	20086.4	19807.7	628.92523	17053.14453	322.66693	0.03699	1.31833	569.30988	16409.50781	49	2	4	1	-44.9352	-44.9352	1494.99291	6.96448	20086.4	19807.7	20086.4	19807.7	-44.9	-44.9
405/561	21191.2	23966.2	21191.2	23966.2	578.08936	15723.09570	470.75021	1.17686	1.79556	455.06384	15379.25391	49	2	5	1	-207.201	-207.201	1378.39191	12.96601	21191.2	23966.2	21191.2	23966.2	-207.2	-207.2
405/561	21949.3	25532.4	21949.3	25532.4	541.49628	2819.87354	291.32455	1.10750	1.21216	429.62247	2634.43799	58	1	5	1	-23.0917	-23.0917	247.20901	19.14385	21949.3	25532.4	21949.3	25532.4	-23.1	-23.1
405/561	21977.8	25524.7	21977.8	25524.7	731.90668	4629.93994	321.08487	0.09901	1.16619	473.14636	4269.34082	60	1	5	1	-24.964	-24.964	405.89156	15.25582	21977.8	25524.7	21977.8	25524.7	-25.0	-25.0
405/561	20308.2	21101.6	20308.2	21101.6	648.69574	3657.22217	303.12042	0.98324	1.49299	489.96976	3608.75635	62	1	7	1	-53.0485	-53.0485	320.61660	17.16025	20308.2	21101.6	20308.2	21101.6	-53.0	-53.0
405/561	19849.5	15820.3	19849.5	15820.3	581.17023	4530.42676	356.43301	0.12123	1.79047	409.31549	4980.95801	68	1	4	1	-111.09	-111.09	397.16756	17.61631	19849.5	15820.3	19849.5	15820.3	-111.1	-111.1
405/561	19839.5	15847.4	19839.5	15847.4	526.53064	7322.59814	335.20349	0.34527	1.34905	426.86151	7393.44629	70	2	3	1	-54.2967	-54.2967	641.94801	13.69631	19839.5	15847.4	19839.5	15847.4	-54.3	-54.3
405/561	19829.4	15866.7	19829.4	15866.7	693.72699	5282.55811	352.27991	0.26971	1.81677	440.12225	4963.72070	73	1	6	1	-109.217	-109.217	463.10444	15.53680	19829.4	15866.7	19829.4	15866.7	-109.2	-109.2
405/561	22465.6	26374.3	22465.6	26374.3	784.16174	4402.96582	302.50314	0.88944	0.71808	387.64700	4288.82520	78	1	3	1	46.1834	46.1834	385.99348	13.48472	22465.6	26374.3	22465.6	26374.3	46.2	46.2
405/561	20013.6	14832.9	20013.6	14832.9	1797.67090	13931.63672	306.66281	0.87258	1.50109	408.19916	13690.91113	80	2	0	1	-55.5449	-55.5449	1221.34062	6.85561	20013.6	14832.9	20013.6	14832.9	-55.5	-55.5
405/561	22443.6	26356.5	22443.6	26356.5	741.75806	5119.50928	335.38455	0.42937	0.77716	382.98907	4895.27295	81	1	4	1	51.1762	51.1762	448.81048	14.02300	22443.6	26356.5	22443.6	26356.5	51.2	51.2
405/561	22460.8	26372.1	22460.8	26372.1	909.92676	10071.33301	331.99686	0.17281	0.73771	397.82361	9756.71973	83	2	5	1	58.0413	58.0413	882.92053	10.01195	22460.8	26372.1	22460.8	26372.1	58.0	58.0
405/561	19821.2	15875.7	19821.2	15875.7	514.69196	3678.54785	341.29074	0.52993	1.35691	448.10562	3464.35913	84	1	6	1	-59.2895	-59.2895	322.48615	20.27233	19821.2	15875.7	19821.2	15875.7	-59.3	-59.3
405/561	20938.0	12550.1	20938.0	12550.1	922.99677	5470.18213	310.78558	0.22425	0.94659	388.29593	5463.60205	101	1	3	1	9.3615	9.3615	479.55282	11.80776	20938.0	12550.1	20938.0	12550.1	9.4	9.4
405/561	21184.7	23919.1	21184.7	23919.1	549.32178	14367.32031	431.05930	0.24895	1.97936	370.73526	13663.43359	119	2	7	1	-183.485	-183.485	1259.53556	11.19218	21184.7	23919.1	21184.7	23919.1	-183.5	-183.5
405/561	20511.3	21576.1	20511.3	21576.1	732.76685	16199.62598	440.09369	1.17097	1.73632	371.28778	15969.09766	123	2	5	1	-178.493	-178.493	1420.16775	10.47830	20511.3	21576.1	20511.3	21576.1	-178.5	-178.5
405/561	19713.1	17049.1	19713.1	17049.1	1636.04077	12295.91113	349.98007	0.06529	1.71527	433.35922	11979.42773	124	1	0	1	-100.48	-100.48	1077.94195	7.77469	19713.1	17049.1	19713.1	17049.1	-100.5	-100.5
405/561	19864.3	15793.9	19864.3	15793.9	1260.88269	20119.23828	356.61856	0.21975	1.66162	421.80542	19760.62109	125	2	1	1	-101.728	-101.728	1763.78723	6.54200	19864.3	15793.9	19864.3	15793.9	-101.7	-101.7
405/561	20516.4	21615.4	20516.4	21615.4	679.89789	8473.68945	450.68640	1.02511	1.79841	369.39285	8253.32129	126	1	4	1	-190.975	-190.975	742.86039	14.81856	20516.4	21615.4	20516.4	21615.4	-191.0	-191.0
405/561	19872.5	15793.9	19872.5	15793.9	962.66125	38801.13672	388.07269	1.22898	1.53677	409.15265	37626.63281	128	4	0	1	-117.955	-117.955	3401.56761	5.37863	19872.5	15793.9	19872.5	15793.9	-118.0	-118.0
405/561	19811.8	15830.2	19811.8	15830.2	564.81970	4189.67822	347.69260	0.65461	1.39272	391.80774	4318.72900	134	1	3	1	-67.4028	-67.4028	367.29526	17.77954	19811.8	15830.2	19811.8	15830.2	-67.4	-67.4
405/561	20917.9	12585.0	20917.9	12585.0	716.50159	11478.95313	373.10599	1.04194	1.50011	334.92712	11704.10156	138	2	2	1	-100.48	-100.48	1006.32194	10.27453	20917.9	12585.0	20917.9	12585.0	-100.5	-100.5
405/561	22530.9	26381.3	22530.9	26381.3	832.36060	4524.45020	297.63718	1.11004	0.70228	370.87601	4501.09961	141	1	2	1	46.8075	46.8075	396.64362	12.67282	22530.9	26381.3	22530.9	26381.3	46.8	46.8
405/561	19720.2	18278.4	19720.2	18278.4	936.14532	27032.86914	326.60278	0.39254	0.93236	409.19394	27526.55469	143	3	1	1	13.7302	13.7302	2369.88243	5.05107	19720.2	18278.4	19720.2	18278.4	13.7	13.7
405/561	19953.1	14473.1	19953.1	14473.1	598.62872	3535.84961	310.26169	0.24163	1.03094	336.65985	3239.50366	164	1	1	1	-3.7446	-3.7446	309.97627	16.09157	19953.1	14473.1	19953.1	14473.1	-3.7	-3.7
405/561	21821.9	25452.7	21821.9	25452.7	538.54968	3967.68042	346.50980	0.85937	0.79618	318.79303	3849.17456	165	1	2	1	54.2967	54.2967	347.83345	17.21917	21821.9	25452.7	21821.9	25452.7	54.3	54.3
405/561	20491.1	21614.8	20491.1	21614.8	658.25592	9573.03223	351.02414	0.19671	1.77715	405.19666	9624.30859	175	2	5	1	-105.473	-105.473	839.23614	11.53669	20491.1	21614.8	20491.1	21614.8	-105.5	-105.5
405/561	19675.9	16653.3	19675.9	16653.3	531.89429	2807.97803	293.32175	1.21045	1.39380	345.60452	2681.88721	178	1	3	1	-40.5665	-40.5665	246.16617	17.96793	19675.9	16653.3	19675.9	16653.3	-40.6	-40.6
405/561	20499.5	21569.6	20499.5	21569.6	626.43829	5741.97705	386.50189	0.45749	1.76726	352.85233	5636.16846	178	1	4	1	-134.182	-134.182	503.38018	15.66418	20499.5	21569.6	20499.5	21569.6	-134.2	-134.2
405/561	19802.5	15835.4	19802.5	15835.4	584.69128	4110.60889	338.49310	0.08920	1.52573	318.79541	4505.16016	181	1	1	1	-75.5161	-75.5161	360.36352	16.07917	19802.5	15835.4	19802.5	15835.4	-75.5	-75.5
405/561	19813.5	15796.9	19813.5	15796.9	687.42523	12304.90234	315.46268	0.36695	1.36862	325.33875	11946.59277	192	3	2	1	-46.8075	-46.8075	1078.73018	8.34658	19813.5	15796.9	19813.5	15796.9	-46.8	-46.8
405/561	20060.3	19777.9	20060.3	19777.9	530.24860	64116.08984	323.65564	0.10478	1.24426	415.64185	61777.50781	192	6	3	1	-36.1978	-36.1978	5620.84601	3.11317	20060.3	19777.9	20060.3	19777.9	-36.2	-36.2
405/561	19798.2	15809.1	19798.2	15809.1	571.10333	3558.64282	318.67273	0.60274	1.57554	321.58224	3683.62183	200	1	3	1	-68.0269	-68.0269	311.97447	16.47034	19798.2	15809.1	19798.2	15809.1	-68.0	-68.0
405/561	20632.8	22609.8	20632.8	22609.8	1017.85767	6535.20605	323.47906	0.22522	1.12874	357.44638	6374.84033	200	1	5	1	-19.9712	-19.9712	572.91995	10.65079	20632.8	22609.8	20632.8	22609.8	-20.0	-20.0
405/561	19667.1	16523.7	19667.1	16523.7	1539.54407	7486.71631	281.52026	1.47970	1.17296	385.08124	7414.96875	202	1	0	1	-17.4748	-17.4748	656.33571	7.97510	19667.1	16523.7	19667.1	16523.7	-17.5	-17.5
405/561	20626.2	22589.6	20626.2	22589.6	551.95044	3035.05103	299.35947	0.86902	1.29476	335.73038	2954.74048	205	1	2	1	-33.7014	-33.7014	266.07291	17.22853	20626.2	22589.6	20626.2	22589.6	-33.7	-33.7
405/561	19693.9	16922.1	19693.9	16922.1	882.50201	30819.97656	375.54526	0.36838	1.73969	335.83771	30141.73633	209	4	3	1	-122.948	-122.948	2701.88564	5.78812	19693.9	16922.1	19693.9	16922.1	-122.9	-122.9
405/561	21001.9	23609.4	21001.9	23609.4	582.04852	9329.58398	364.12772	1.27502	1.33742	312.73694	9248.88672	213	2	2	1	-72.3956	-72.3956	817.89384	11.46471	21001.9	23609.4	21001.9	23609.4	-72.4	-72.4
405/561	20695.3	23553.3	20695.3	23553.3	818.79437	5363.33740	326.73087	0.28882	0.84102	313.06204	4932.44922	241	1	3	1	32.4532	32.4532	470.18609	12.16530	20695.3	23553.3	20695.3	23553.3	32.5	32.5
405/561	20680.4	23553.5	20680.4	23553.5	714.23279	12398.69336	300.58954	0.64084	1.06063	310.01468	12115.89844	243	3	3	1	-6.8651	-6.8651	1086.95253	7.56760	20680.4	23553.5	20680.4	23553.5	-6.9	-6.9
405/561	20063.1	19772.7	20063.1	19772.7	1378.16882	9032.29688	326.81949	0.14028	1.29937	369.52826	8659.79395	244	1	0	1	-44.3111	-44.3111	791.83166	8.51693	20063.1	19772.7	20063.1	19772.7	-44.3	-44.3
405/561	19944.2	14416.7	19944.2	14416.7	567.01367	8317.64355	327.72720	0.14746	0.76972	305.49359	8051.31982	265	2	2	1	48.6798	48.6798	729.18036	10.53389	19944.2	14416.7	19944.2	14416.7	48.7	48.7
405/561	20938.6	12550.7	20938.6	12550.7	591.77313	12342.79297	401.75928	0.65024	1.77108	273.50449	11852.68750	267	2	0	1	-147.912	-147.912	1082.05193	10.23006	20938.6	12550.7	20938.6	12550.7	-147.9	-147.9
405/561	19770.3	15907.7	19770.3	15907.7	540.64703	3607.73828	329.77722	0.06139	1.47121	304.27887	3446.02856	273	1	1	1	-64.9064	-64.9064	316.27851	16.91088	19770.3	15907.7	19770.3	15907.7	-64.9	-64.9
405/561	19765.9	15878.5	19765.9	15878.5	541.77130	2909.40283	295.83801	0.95800	1.24687	299.27643	2805.08936	277	1	1	1	-27.4604	-27.4604	255.05775	16.83606	19765.9	15878.5	19765.9	15878.5	-27.5	-27.5
405/561	21110.6	23989.4	21110.6	23989.4	791.97211	9293.56250	308.35306	0.68788	1.41575	314.24420	8999.78906	277	2	2	1	-48.6798	-48.6798	814.73596	8.81917	21110.6	23989.4	21110.6	23989.4	-48.7	-48.7
405/561	21109.3	23986.5	21109.3	23986.5	563.71674	3854.32007	333.81317	0.20785	1.39810	296.55960	3633.01001	280	1	2	1	-59.2895	-59.2895	337.89552	16.18713	21109.3	23986.5	21109.3	23986.5	-59.3	-59.3
405/561	21120.0	23997.6	21120.0	23997.6	544.21912	3493.06958	323.42737	0.21980	1.44624	267.33514	3452.62109	282	1	4	1	-58.6654	-58.6654	306.22588	16.12289	21120.0	23997.6	21120.0	23997.6	-58.7	-58.7
405/561	21552.4	12019.2	21552.4	12019.2	811.07233	40890.96875	353.36353	0.58486	1.48994	292.53293	40874.04297	297	3	2	1	-83.0053	-83.0053	3584.77629	3.87599	21552.4	12019.2	21552.4	12019.2	-83.0	-83.0
405/561	19714.9	18292.3	19714.9	18292.3	719.35522	4388.15625	315.30392	0.14745	0.83733	306.02545	4263.36377	297	1	3	1	29.3327	29.3327	384.69518	13.41454	19714.9	18292.3	19714.9	18292.3	29.3	29.3
405/561	19707.3	18308.0	19707.3	18308.0	3449.29883	25658.06641	321.21606	0.14447	0.74792	350.95453	24124.27344	302	2	0	1	49.928	49.928	2249.35801	4.51113	19707.3	18308.0	19707.3	18308.0	49.9	49.9
405/561	22487.1	26374.0	22487.1	26374.0	546.62848	11351.56836	334.50964	0.48888	0.80610	309.68759	11175.89453	312	3	2	1	44.3111	44.3111	995.15454	9.66213	22487.1	26374.0	22487.1	26374.0	44.3	44.3
405/561	19850.6	14962.8	19850.6	14962.8	1375.59241	8031.44336	308.46930	0.52620	0.77416	318.44031	7775.99268	337	1	0	1	38.6942	38.6942	704.09014	8.24984	19850.6	14962.8	19850.6	14962.8	38.7	38.7
405/561	19984.5	14810.4	19984.5	14810.4	642.44635	3413.67163	294.27438	1.04353	1.27232	271.91251	3340.18701	345	1	1	1	-29.9568	-29.9568	299.26533	14.20506	19984.5	14810.4	19984.5	14810.4	-30.0	-30.0
405/561	19704.9	18323.6	19704.9	18323.6	815.02515	16956.54297	311.80740	0.27104	0.84410	318.58469	16808.14844	348	3	3	1	27.4604	27.4604	1486.52417	6.30470	19704.9	18323.6	19704.9	18323.6	27.5	27.5
405/561	20445.6	13009.6	20445.6	13009.6	669.25146	5293.38818	359.03125	0.15418	0.59021	266.06293	5294.79688	354	1	2	1	109.842	109.842	464.05387	13.57677	20445.6	13009.6	20445.6	13009.6	109.8	109.8
405/561	19869.0	20166.3	19869.0	20166.3	621.63129	4084.69971	327.24551	0.15926	0.77893	307.71609	4006.09790	356	1	1	1	46.1834	46.1834	358.09214	15.11839	19869.0	20166.3	19869.0	20166.3	46.2	46.2
405/561	19703.2	18327.9	19703.2	18327.9	749.14844	4015.76270	295.56985	1.00055	0.78104	298.93048	3889.73804	361	1	1	1	33.0773	33.0773	352.04866	12.92239	19703.2	18327.9	19703.2	18327.9	33.1	33.1
405/561	20517.1	22425.6	20517.1	22425.6	996.80096	26972.72656	322.54041	0.13560	0.84255	294.10709	26125.96875	363	3	1	1	30.5809	30.5809	2364.60993	4.59084	20517.1	22425.6	20517.1	22425.6	30.6	30.6
405/561	21006.0	23639.1	21006.0	23639.1	667.23926	4400.15283	327.83334	0.45800	1.64170	310.75381	4204.61670	364	1	3	1	-78.6366	-78.6366	385.74688	14.30994	21006.0	23639.1	21006.0	23639.1	-78.6	-78.6
405/561	21005.6	23632.3	21005.6	23632.3	720.80060	6032.85596	369.32947	0.57815	1.62905	291.60776	5930.72803	374	1	2	1	-109.217	-109.217	528.88057	13.14216	21005.6	23632.3	21005.6	23632.3	-109.2	-109.2
405/561	20839.1	23491.5	20839.1	23491.5	688.34637	4649.93750	331.80283	0.49444	1.17389	292.95544	4595.11426	394	1	1	1	-29.3327	-29.3327	407.64468	13.69459	20839.1	23491.5	20839.1	23491.5	-29.3	-29.3
405/561	20098.7	20234.5	20098.7	20234.5	691.48615	13265.18750	322.51340	0.10569	0.74639	324.75171	12909.62305	398	3	1	1	50.5521	50.5521	1162.91521	8.12813	20098.7	20234.5	20098.7	20234.5	50.6	50.6
405/561	19679.8	18269.1	19679.8	18269.1	1015.06458	23716.95703	288.91437	1.24382	0.79154	337.89633	22952.77930	399	3	0	1	29.9568	29.9568	2079.18736	4.45416	19679.8	18269.1	19679.8	18269.1	30.0	30.0
405/561	20683.9	23336.0	20683.9	23336.0	500.17383	3276.79370	326.75641	0.25273	0.82251	270.12549	3065.86304	440	1	0	1	36.8219	36.8219	287.26569	17.34394	20683.9	23336.0	20683.9	23336.0	36.8	36.8
405/561	20533.9	22265.0	20533.9	22265.0	544.31952	3306.31641	314.63373	0.66088	1.53528	269.19614	3039.09644	450	1	2	1	-62.41	-62.41	289.85385	16.16878	20533.9	22265.0	20533.9	22265.0	-62.4	-62.4
405/561	21891.8	25425.1	21891.8	25425.1	527.88696	2912.14624	299.84454	0.65911	1.00290	249.28241	2851.93994	486	1	1	1	0.6241	0.6241	255.29825	16.20128	21891.8	25425.1	21891.8	25425.1	0.6	0.6
405/561	21500.6	12038.4	21500.6	12038.4	592.41223	4797.79053	363.30273	0.95582	1.44819	274.30072	4581.22510	488	1	1	1	-86.1258	-86.1258	420.60646	15.12064	21500.6	12038.4	21500.6	12038.4	-86.1	-86.1
405/561	21873.3	25418.0	21873.3	25418.0	673.32782	7777.33984	328.91315	0.49093	0.94869	265.18854	7336.57324	488	2	3	1	10.6097	10.6097	681.81372	10.70191	21873.3	25418.0	21873.3	25418.0	10.6	10.6
405/561	21847.5	25399.8	21847.5	25399.8	642.79291	7424.27930	327.10330	0.30716	1.18419	230.09364	7538.57422	495	2	2	1	-29.3327	-29.3327	650.86207	10.54449	21847.5	25399.8	21847.5	25399.8	-29.3	-29.3
405/561	21134.0	12283.7	21134.0	12283.7	610.23706	22376.91406	344.41180	1.01187	1.13047	290.32642	22430.35938	496	4	0	1	-25.5881	-25.5881	1961.71021	6.24620	21134.0	12283.7	21134.0	12283.7	-25.6	-25.6
405/561	22305.3	26064.3	22305.3	26064.3	738.33447	7485.95313	282.48907	1.42439	1.14692	305.95569	7209.45410	496	2	2	1	-14.9784	-14.9784	656.26881	9.06944	22305.3	26064.3	22305.3	26064.3	-15.0	-15.0
405/561	21001.3	12320.2	21001.3	12320.2	531.13391	7342.56055	298.17776	0.72849	0.97106	245.78210	7257.89453	516	2	0	1	4.9928	4.9928	643.69805	9.39287	21001.3	12320.2	21001.3	12320.2	5.0	5.0
405/561	22409.6	26338.6	22409.6	26338.6	1090.39111	9409.05664	302.61438	0.58225	0.89180	249.92673	9717.66406	561	2	0	1	17.4748	17.4748	824.86095	7.96480	22409.6	26338.6	22409.6	26338.6	17.5	17.5
405/561	21152.5	23881.8	21152.5	23881.8	966.79413	13650.24219	368.64746	0.88298	1.51967	261.54425	13708.90234	568	2	0	1	-98.6078	-98.6078	1196.67169	8.14964	21152.5	23881.8	21152.5	23881.8	-98.6	-98.6
405/561	21145.8	23887.1	21145.8	23887.1	554.87775	4616.87256	368.24371	0.13203	1.87372	244.83954	4441.61621	572	1	0	1	-126.068	-126.068	404.74598	15.38408	21145.8	23887.1	21145.8	23887.1	-126.1	-126.1
405/561	21283.1	24524.0	21283.1	24524.0	619.80743	3040.26294	282.73999	1.38890	1.09442	244.82037	3130.49072	635	1	1	1	-9.3615	-9.3615	266.52982	14.18826	21283.1	24524.0	21283.1	24524.0	-9.4	-9.4
405/561	21306.2	24536.9	21306.2	24536.9	931.29572	9525.77930	313.08243	0.27395	1.23024	255.98529	9402.73535	638	2	0	1	-30.5809	-30.5809	835.09364	8.35414	21306.2	24536.9	21306.2	24536.9	-30.6	-30.6
405/561	21276.5	24513.2	21276.5	24513.2	682.74084	4615.96191	331.94275	0.41281	1.23951	244.33008	4443.74805	641	1	1	1	-38.6942	-38.6942	404.66615	13.06369	21276.5	24513.2	21276.5	24513.2	-38.7	-38.7
405/561	20933.1	23605.9	20933.1	23605.9	623.48804	6037.97949	397.27554	0.44434	1.81765	241.07346	5655.48145	642	1	1	1	-146.663	-146.663	529.32974	13.91790	20933.1	23605.9	20933.1	23605.9	-146.7	-146.7
405/561	21288.4	24541.1	21288.4	24541.1	721.54889	11831.86328	304.08170	0.66575	1.27434	248.91699	11829.22559	643	3	0	1	-33.0773	-33.0773	1037.26041	7.49814	21288.4	24541.1	21288.4	24541.1	-33.1	-33.1
405/561	20732.7	23317.3	20732.7	23317.3	620.34869	3539.18066	304.92529	0.55663	0.83093	246.19847	3341.03809	688	1	0	1	28.0845	28.0845	310.26829	14.16233	20732.7	23317.3	20732.7	23317.3	28.1	28.1
405/561	20874.5	12381.1	20874.5	12381.1	523.59100	15474.54883	352.33044	0.76395	1.40516	222.36827	15558.33203	701	3	0	1	-72.3956	-72.3956	1356.60263	7.37950	20874.5	12381.1	20874.5	12381.1	-72.4	-72.4
405/561	20873.3	12377.9	20873.3	12377.9	515.67151	12934.74805	345.42200	0.54372	1.41173	230.19151	13365.96875	705	3	1	1	-68.0269	-68.0269	1133.94668	8.32235	20873.3	12377.9	20873.3	12377.9	-68.0	-68.0
405/561	20389.4	18869.1	20389.4	18869.1	582.32935	4829.74902	367.65289	1.48212	1.29723	253.58835	4907.40820	706	1	1	1	-68.651	-68.651	423.40816	14.95618	20389.4	18869.1	20389.4	18869.1	-68.7	-68.7
