Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc	Zw	Zwc
405/561	19720.8	18266.3	19720.8	18266.3	658.16461	50665.58984	356.75937	1.44472	0.87727	743.21057	49127.29688	3	4	17	1	37.446	37.446	4441.68507	4.55608	19720.8	18266.3	19720.8	18266.3	37.4	37.4
405/561	20937.0	23451.2	20937.0	23451.2	1231.86951	69261.24219	425.52490	1.12892	1.71043	719.58643	69690.78125	4	7	14	1	-164.762	-164.762	6071.90454	5.64547	20937.0	23451.2	20937.0	23451.2	-164.8	-164.8
405/561	21473.3	12021.0	21473.3	12021.0	611.91650	4398.64355	342.27356	0.85549	0.84279	650.58411	3986.39673	8	1	5	1	39.3183	39.3183	385.61456	20.10134	21473.3	12021.0	21473.3	12021.0	39.3	39.3
405/561	19731.7	18282.8	19731.7	18282.8	1055.04248	13045.57813	346.07657	1.12086	0.91630	649.70734	13683.78516	8	2	11	1	21.2194	21.2194	1143.66278	10.22761	19731.7	18282.8	19731.7	18282.8	21.2	21.2
405/561	20468.1	18999.4	20468.1	18999.4	661.79846	8026.92334	329.95233	0.12610	1.50709	801.63684	7387.53809	8	2	12	1	-68.651	-68.651	703.69388	15.74369	20468.1	18999.4	20468.1	18999.4	-68.7	-68.7
405/561	19653.9	17291.8	19653.9	17291.8	572.82532	3266.33984	304.84537	0.80478	1.40939	684.83362	3321.15991	10	1	8	1	-46.8075	-46.8075	286.34924	21.81911	19653.9	17291.8	19653.9	17291.8	-46.8	-46.8
405/561	20470.9	18988.6	20470.9	18988.6	670.48840	4234.61426	320.82730	0.04162	1.21016	721.11725	4074.06885	11	1	12	1	-30.5809	-30.5809	371.23466	19.30997	20470.9	18988.6	20470.9	18988.6	-30.6	-30.6
405/561	20164.9	14317.4	20164.9	14317.4	1233.11975	12437.69238	304.68265	0.51174	1.12984	567.46606	12099.69629	12	2	2	1	-16.2266	-16.2266	1090.37145	8.21186	20164.9	14317.4	20164.9	14317.4	-16.2	-16.2
405/561	19711.0	18281.4	19711.0	18281.4	911.00494	14009.39551	350.60321	1.29254	0.91943	633.53168	13827.41602	14	2	4	1	21.8435	21.8435	1228.15747	9.74402	19711.0	18281.4	19711.0	18281.4	21.8	21.8
405/561	20482.8	18988.7	20482.8	18988.7	704.89001	4250.71729	313.49490	0.85606	1.62802	724.09540	4353.61426	14	1	5	1	-69.2751	-69.2751	372.64636	18.49928	20482.8	18988.7	20482.8	18988.7	-69.3	-69.3
405/561	20166.1	14327.9	20166.1	14327.9	519.64960	3140.71606	313.84781	0.09802	0.96192	530.78424	3222.39404	15	1	5	1	7.4892	7.4892	275.33621	21.49698	20166.1	14327.9	20166.1	14327.9	7.5	7.5
405/561	19862.1	16239.6	19862.1	16239.6	869.07507	59765.19531	463.54657	1.36779	1.73380	603.35321	56648.63281	16	3	0	1	-197.84	-197.84	5239.41745	5.19759	19862.1	16239.6	19862.1	16239.6	-197.8	-197.8
405/561	20084.0	19769.3	20084.0	19769.3	909.41229	11287.17969	330.45282	0.29011	1.28562	709.96661	10527.66992	16	2	9	1	-44.3111	-44.3111	989.50980	11.07451	20084.0	19769.3	20084.0	19769.3	-44.3	-44.3
405/561	19928.4	12106.3	19928.4	12106.3	980.65155	33452.78906	370.75974	0.40595	0.63315	518.95709	32627.00977	18	4	5	1	112.338	112.338	2932.69562	6.07833	19928.4	12106.3	19928.4	12106.3	112.3	112.3
